;1;2;3;4;5;
[4(70.000000%)|0(40.000000%)];3901€|17%|67%|16%;2416.5€|7%|78%|15%;1723€|50.6464%|49.3536%|0%;1374.5€|38.1833%|44.8167%|17%;1361.6€|49.4849%|6.51509%|44%;
[4(70.000000%)|4(40.000000%)];7221€|32%|28%|40%;4128€|16.3842%|35.6158%|48%;2823€|5%|17%|78%;2249€|33.9726%|26.0274%|40%;1979.6€|37%|0%|63%;
[4(70.000000%)|5(40.000000%)];4973€|7%|37%|56%;3313€|42.8868%|41.1132%|16%;2965€|10.8658%|66.1342%|23%;2833€|24.7982%|68.2018%|7%;2212.8€|0%|90.0409%|9.95914%;
[4(70.000000%)|6(40.000000%)];5516€|7%|57%|36%;4255€|0%|92%|8%;3230€|22%|62%|16%;2574.5€|18.6502%|56.3498%|25%;2086.2€|5%|35%|60%;
[5(70.000000%)|0(40.000000%)];3277€|4%|62%|34%;1980€|59.4437%|35.5563%|5%;1583€|0%|49%|51%;1567.5€|49%|33%|18%;1384€|33%|19%|48%;
[5(70.000000%)|4(40.000000%)];7325€|19%|24%|57%;3649€|14%|56%|30%;3151.67€|13%|1%|86%;2174.5€|6.47429%|93.5257%|0%;1746.2€|17.919%|65.081%|17%;
[5(70.000000%)|5(40.000000%)];6362€|20%|53%|27%;3943.5€|39%|2%|59%;2403€|60.6719%|39.3281%|5.55112e-15%;2604.5€|20.3023%|69.6977%|10%;2236.6€|12%|21.9716%|66.0284%;
[5(70.000000%)|6(40.000000%)];6843€|14%|85%|1%;3461.5€|4%|65.386%|30.614%;2536.33€|35.6733%|47.3267%|17%;2386€|49.6052%|46.3948%|4%;2134.4€|6%|35.5038%|58.4962%;
[6(70.000000%)|0(40.000000%)];2874€|0%|21%|79%;2308€|12%|52%|36%;1477€|8%|34.699%|57.301%;1627.5€|34.5462%|61.4538%|4%;1504.6€|21.8933%|66.1067%|12%;
[6(70.000000%)|4(40.000000%)];5128€|17.4102%|74.5898%|8%;3634€|43.4435%|29.5565%|27%;2846€|38.0404%|45.9596%|16%;2372€|5%|33.6133%|61.3867%;2003.6€|30.9958%|39.0042%|30%;
[6(70.000000%)|5(40.000000%)];4969€|0%|72.9247%|27.0753%;3047.5€|40.4361%|37.5639%|22%;2658.67€|28%|50%|22%;2210.25€|43.3626%|38.6374%|18%;2325€|43.7262%|31.2738%|25%;
[6(70.000000%)|6(40.000000%)];6277€|34%|37%|29%;3949€|18%|45%|37%;2796€|9.0618%|13.9382%|77%;2588.5€|0%|13%|87%;2166.8€|2%|49.2091%|48.7909%;
[0(70.000000%)];497€|30.7486%|69.2514%|0%;489€|8%|40%|52%;454€|45.0388%|10.9612%|44%;463€|0%|20%|80%;448€|10.6038%|20.3962%|69%;
[4(70.000000%)];3995€|19.7967%|55.2033%|25%;2558.5€|0%|32%|68%;2507€|24.5769%|46.4231%|29%;1902€|64%|34%|2%;2079.6€|31.3725%|68.6275%|0%;
[5(70.000000%)];3891€|0%|57%|43%;2286€|30.6832%|68.3168%|1%;2381€|56.3547%|43.6453%|5.55112e-15%;2205.5€|6%|40%|54%;2022.6€|0%|46.9793%|53.0207%;
[6(70.000000%)];4687€|16.6468%|53.3532%|30%;3044.5€|55.0031%|29.9969%|15%;2500€|0%|64.3006%|35.6994%;1957€|5%|66.5875%|28.4125%;1955€|10.4515%|86.5485%|3%;
